feature,importance
lag_1,0.980852366269809
rolling_mean_3,0.0067510232228055606
lag_12,0.002096110516523988
month_sin,0.0020596797190045465
rolling_mean_6,0.0018106620681637394
rolling_std_3,0.0012629113376176249
total_emergency_admissions,0.0010247369502037066
total_over_4hrs,0.000815284506450188
total_booked_attendances,0.0007284497236737013
month,0.0006368905920265356
lag_6,0.0005453356062271322
lag_3,0.0005228631137209761
month_cos,0.00034799470033434836
total_dta_waits,0.0003050154179408384
year,0.0001877820615813163
quarter,5.289419391688346e-05
