period,org_code,parent_org,org_name,aande_attendances_type_1,aande_attendances_type_2,aande_attendances_other_aande_department,attendances_over_4hrs_type_1,attendances_over_4hrs_type_2,attendances_over_4hrs_other_department,patients_who_have_waited_4_12_hs_from_dta_to_admission,patients_who_have_waited_12plus_hrs_from_dta_to_admission,emergency_admissions_via_aande___type_1,emergency_admissions_via_aande___type_2,emergency_admissions_via_aande___other_aande_department,other_emergency_admissions,source_file,aande_attendances_booked_appointments_type_1,aande_attendances_booked_appointments_type_2,aande_attendances_booked_appointments_other_department,attendances_over_4hrs_booked_appointments_type_1,attendances_over_4hrs_booked_appointments_type_2,attendances_over_4hrs_booked_appointments_other_department,total_attendances,total_booked_attendances,total_over_4hrs,total_booked_over_4hrs,total_dta_waits,total_emergency_admissions,over_4hr_rate,booked_over_4hr_rate,admission_rate
2020-04-01,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,2953,182,7,276,0,0,4,0,1006,0,0,287,April-2020-revised-260421-abc123.csv,0.0,0.0,0.0,0.0,0.0,0.0,3142,0.0,276,0.0,4,1293,0.08784213876511776,0.0,0.41152132399745384
2020-05-01,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,3858,262,1,304,0,0,0,0,1190,0,0,404,May-2020-revised-260421-de345.csv,0.0,0.0,0.0,0.0,0.0,0.0,4121,0.0,304,0.0,0,1594,0.0737685027905848,0.0,0.38679932055326377
2020-06-01,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,4216,309,7,280,0,0,0,0,1314,0,0,467,June-2020-revised-260421-df453.csv,0.0,0.0,0.0,0.0,0.0,0.0,4532,0.0,280,0.0,0,1781,0.0617828773168579,0.0,0.39298323036187116
2020-07-01,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,4668,357,16,316,0,0,2,0,1164,0,0,378,July-2020-revised-270421-cd305.csv,0.0,0.0,0.0,0.0,0.0,0.0,5041,0.0,316,0.0,2,1542,0.06268597500495933,0.0,0.3058916881571117
2020-08-01,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,4913,332,11,514,0,0,11,0,1266,0,0,357,August-2020-revised-270421-gh920.csv,0.0,0.0,0.0,0.0,0.0,0.0,5256,0.0,514,0.0,11,1623,0.09779299847792998,0.0,0.3087899543378995
2020-09-01,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,4927,296,9,705,0,0,1,0,1306,0,0,397,September-2020-revised-270421-jh930.csv,0.0,0.0,0.0,0.0,0.0,0.0,5232,0.0,705,0.0,1,1703,0.13474770642201836,0.0,0.32549694189602446
2020-10-01,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,4574,408,0,882,0,0,0,1,1232,0,0,524,October-2020-revised-270421-dr302.csv,0.0,0.0,0.0,0.0,0.0,0.0,4982,0.0,882,0.0,1,1756,0.17703733440385389,0.0,0.35246888799678844
2020-11-01,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,4056,315,5,660,0,0,0,0,1187,0,0,413,November-2020-revised-270421-fr452.csv,0.0,0.0,0.0,0.0,0.0,0.0,4376,0.0,660,0.0,0,1600,0.15082266910420475,0.0,0.3656307129798903
2020-12-01,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,4347,306,0,624,0,0,0,0,1296,0,0,413,December-2020-revised-270421-fd675.csv,0.0,0.0,0.0,0.0,0.0,0.0,4653,0.0,624,0.0,0,1709,0.134107027724049,0.0,0.36728992048140985
2021-01-01,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,4096,285,6,662,0,0,2,0,1274,0,0,375,January-2021-revised-280421-er231.csv,0.0,0.0,0.0,0.0,0.0,0.0,4387,0.0,662,0.0,2,1649,0.15090038750854798,0.0,0.37588329154319583
