period,org_code,parent_org,org_name,aande_attendances_type_1,aande_attendances_type_2,aande_attendances_other_aande_department,attendances_over_4hrs_type_1,attendances_over_4hrs_type_2,attendances_over_4hrs_other_department,patients_who_have_waited_4_12_hs_from_dta_to_admission,patients_who_have_waited_12plus_hrs_from_dta_to_admission,emergency_admissions_via_aande___type_1,emergency_admissions_via_aande___type_2,emergency_admissions_via_aande___other_aande_department,other_emergency_admissions,source_file,aande_attendances_booked_appointments_type_1,aande_attendances_booked_appointments_type_2,aande_attendances_booked_appointments_other_department,attendances_over_4hrs_booked_appointments_type_1,attendances_over_4hrs_booked_appointments_type_2,attendances_over_4hrs_booked_appointments_other_department,total_attendances,total_booked_attendances,total_over_4hrs,total_booked_over_4hrs,total_dta_waits,total_emergency_admissions,over_4hr_rate,booked_over_4hr_rate,admission_rate,year,month,quarter,month_sin,month_cos,lag_1,lag_3,lag_6,lag_12,rolling_mean_3,rolling_mean_6,rolling_std_3
2021-04-01,AAH,NHS ENGLAND SOUTH WEST ,TETBURY HOSPITAL TRUST LTD,0,0,155,0,0,0,0,0,0,0,0,0,April-2021-revised-120522-ABC456.csv,0.0,0.0,0.0,0.0,0.0,0.0,155,0.0,0,0.0,0,0,0.0,0.0,0.0,2021,4,2,0.8660254037844387,-0.4999999999999998,191.0,102.0,155.0,99.0,139.33333333333334,138.83333333333334,46.19884558442271
2021-05-01,AAH,NHS ENGLAND SOUTH WEST ,TETBURY HOSPITAL TRUST LTD,0,0,180,0,0,0,0,0,0,0,0,0,May-2021-revised-120522-DEF678.csv,0.0,0.0,0.0,0.0,0.0,0.0,180,0.0,0,0.0,0,0,0.0,0.0,0.0,2021,5,2,0.49999999999999994,-0.8660254037844387,155.0,125.0,147.0,130.0,157.0,138.83333333333334,33.045423283716616
2021-06-01,AAH,NHS ENGLAND SOUTH WEST ,TETBURY HOSPITAL TRUST LTD,0,0,255,0,0,0,0,0,0,0,0,0,June-2021-revised-120522-GHI999.csv,0.0,0.0,0.0,0.0,0.0,0.0,255,0.0,0,0.0,0,0,0.0,0.0,0.0,2021,6,2,1.2246467991473532e-16,-1.0,180.0,191.0,113.0,181.0,175.33333333333334,144.33333333333334,18.448125469362296
2021-07-01,AAH,NHS ENGLAND SOUTH WEST ,TETBURY HOSPITAL TRUST LTD,0,0,203,0,0,0,0,0,0,0,0,0,July-2021-revised-120522-CBA304.csv,0.0,0.0,0.0,0.0,0.0,0.0,203,0.0,0,0.0,0,0,0.0,0.0,0.0,2021,7,3,-0.4999999999999997,-0.8660254037844388,255.0,155.0,102.0,203.0,196.66666666666666,168.0,52.041649986653326
2021-08-01,AAH,NHS ENGLAND SOUTH WEST ,TETBURY HOSPITAL TRUST LTD,0,0,204,0,0,0,0,0,0,0,0,0,August-2021-revised-120522-CCC324.csv,0.0,0.0,0.0,0.0,0.0,0.0,204,0.0,0,0.0,0,0,0.0,0.0,0.0,2021,8,3,-0.8660254037844384,-0.5000000000000004,203.0,180.0,125.0,189.0,212.66666666666666,184.83333333333334,38.42308333974949
2021-09-01,AAH,NHS ENGLAND SOUTH WEST ,TETBURY HOSPITAL TRUST LTD,0,0,191,0,0,1,0,0,0,0,0,0,September-2021-revised-120522-TSU879.csv,0.0,0.0,0.0,0.0,0.0,0.0,191,0.0,1,0.0,0,0,0.0052356020942408,0.0,0.0,2021,9,3,-1.0,-1.8369701987210297e-16,204.0,255.0,191.0,181.0,220.66666666666666,198.0,29.737742572921277
2021-10-01,AAH,NHS ENGLAND SOUTH WEST ,TETBURY HOSPITAL TRUST LTD,0,0,173,0,0,3,0,0,0,0,0,0,October-2021-revised-120522-aaa111.csv,0.0,0.0,0.0,0.0,0.0,0.0,173,0.0,3,0.0,0,0,0.0173410404624277,0.0,0.0,2021,10,4,-0.8660254037844386,0.5000000000000001,191.0,203.0,155.0,155.0,199.33333333333334,198.0,7.23417813807031
2021-11-01,AAH,NHS ENGLAND SOUTH WEST ,TETBURY HOSPITAL TRUST LTD,0,0,201,0,0,0,0,0,0,0,0,0,November-2021-revised-120522-CDE131.csv,0.0,0.0,0.0,0.0,0.0,0.0,201,0.0,0,0.0,0,0,0.0,0.0,0.0,2021,11,4,-0.5000000000000004,0.8660254037844384,173.0,204.0,180.0,147.0,189.33333333333334,201.0,15.567059238447529
2021-12-01,AAH,NHS ENGLAND SOUTH WEST ,TETBURY HOSPITAL TRUST LTD,0,0,173,0,0,0,0,0,0,0,0,0,December-2021-revised-120522-abc323.csv,0.0,0.0,0.0,0.0,0.0,0.0,173,0.0,0,0.0,0,0,0.0,0.0,0.0,2021,12,4,-2.4492935982947064e-16,1.0,201.0,191.0,255.0,113.0,188.33333333333334,204.5,14.189197769195218
2022-01-01,AAH,NHS ENGLAND SOUTH WEST ,TETBURY HOSPITAL TRUST LTD,0,0,155,0,0,1,0,0,0,0,0,0,January-2022-revised-120522-bbb333.csv,0.0,0.0,0.0,0.0,0.0,0.0,155,0.0,1,0.0,0,0,0.0064516129032258,0.0,0.0,2022,1,1,0.49999999999999994,0.8660254037844387,173.0,173.0,203.0,102.0,182.33333333333334,190.83333333333334,16.16580753730956
