org_name,parent_org,waits_12plus_hrs
ROYAL FREE LONDON NHS FOUNDATION TRUST,NHS ENGLAND LONDON,2508
UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS ,2453
UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS ,2343
UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS ,2232
UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS ,2228
UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS ,2220
UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS ,2190
ROYAL FREE LONDON NHS FOUNDATION TRUST,NHS ENGLAND LONDON,2109
UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS ,2096
UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS ,2089
