org_name,parent_org,total_attendances,total_over_4hrs,over_4hr_rate_pct
MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST ,40977,19386,47.31
MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST ,39478,19100,48.38
MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST ,40140,18728,46.66
MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST ,37921,18114,47.77
BARTS HEALTH NHS TRUST,NHS ENGLAND LONDON,45647,17831,39.06
UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS ,34966,17249,49.33
BARTS HEALTH NHS TRUST,NHS ENGLAND LONDON,45125,16509,36.59
UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS ,32718,16392,50.1
UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS ,34610,16280,47.04
UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS ,32317,16219,50.19
