period,org_code,parent_org,org_name,aande_attendances_type_1,aande_attendances_type_2,aande_attendances_other_aande_department,aande_attendances_booked_appointments_type_1,aande_attendances_booked_appointments_type_2,aande_attendances_booked_appointments_other_department,attendances_over_4hrs_type_1,attendances_over_4hrs_type_2,attendances_over_4hrs_other_department,attendances_over_4hrs_booked_appointments_type_1,attendances_over_4hrs_booked_appointments_type_2,attendances_over_4hrs_booked_appointments_other_department,patients_who_have_waited_4_12_hs_from_dta_to_admission,patients_who_have_waited_12plus_hrs_from_dta_to_admission,emergency_admissions_via_aande___type_1,emergency_admissions_via_aande___type_2,emergency_admissions_via_aande___other_aande_department,other_emergency_admissions,total_attendances,total_booked_attendances,total_over_4hrs,total_booked_over_4hrs,total_dta_waits,total_emergency_admissions,over_4hr_rate,booked_over_4hr_rate,admission_rate
2026-02-01,Y02676,NHS ENGLAND SOUTH EAST ,BRIGHTON STATION HEALTH CENTRE,0,0,1736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1736,0,0,0,0,0,0.0,0.0,0.0
2026-02-01,AAH,NHS ENGLAND SOUTH WEST ,TETBURY HOSPITAL TRUST LTD,0,0,537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537,0,0,0,0,0,0.0,0.0,0.0
2026-02-01,AJN,NHS ENGLAND NORTH EAST AND YORKSHIRE ,WORKINGTON HEALTH LIMITED,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0.0,0.0,0.0
2026-02-01,C82038,NHS ENGLAND MIDLANDS ,LATHAM HOUSE MEDICAL PRACTICE,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,0,0,0,0,0,0.0,0.0,0.0
2026-02-01,C83023,NHS ENGLAND MIDLANDS ,SLEAFORD MEDICAL GROUP,0,0,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,506,0,0,0,0,1,0.0,0.0,0.001976284584980237
2026-02-01,DJV01,NHS ENGLAND SOUTH EAST ,HERNE BAY HEALTH CARE LTD,0,0,2444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2444,0,0,0,0,0,0.0,0.0,0.0
2026-02-01,NDJ,NHS ENGLAND SOUTH EAST ,FIRST COMMUNITY HEALTH AND CARE CIC,0,0,2041,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2041,0,4,0,0,0,0.0019598236158745713,0.0,0.0
2026-02-01,NQT5F,NHS ENGLAND NORTH WEST ,SKELMERSDALE WALK IN CENTRE,0,0,1476,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,1476,0,19,0,0,0,0.012872628726287264,0.0,0.0
2026-02-01,NTV0B,NHS ENGLAND SOUTH EAST ,ASHFORD WALK-IN-CENTRE,0,0,2156,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,2156,0,29,0,0,0,0.013450834879406308,0.0,0.0
2026-02-01,NTV0W,NHS ENGLAND SOUTH EAST ,WOKING WALK IN CENTRE,0,0,2462,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,2462,0,46,0,0,0,0.01868399675060926,0.0,0.0
2026-02-01,RA9,NHS ENGLAND SOUTH WEST ,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,6060,0,2822,380,0,218,3014,0,11,161,0,2,156,74,1948,0,0,1132,8882,598,3025,163,230,3080,0.34057644674622833,0.2725752508361204,0.34676874577797795
2026-02-01,RBQ,NHS ENGLAND NORTH WEST ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,120,0.0,0.0,0.0
2026-02-01,RDY,NHS ENGLAND SOUTH WEST ,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0.0,0.0,0.0
2026-02-01,RGP,NHS ENGLAND EAST OF ENGLAND ,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6735,0,1474,0,0,0,2319,0,0,0,0,0,497,358,1497,0,0,451,8209,0,2319,0,855,1948,0.28249482275551224,0.0,0.23730052381532465
2026-02-01,RJ8,NHS ENGLAND SOUTH WEST ,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,72,0,0,0,0,0,76,0.0,0.0,0.0
2026-02-01,RTX,NHS ENGLAND NORTH WEST ,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,7794,0,2343,128,0,1711,3545,0,81,18,0,44,594,766,2900,0,25,874,10137,1839,3626,62,1360,3799,0.35769951662227484,0.03371397498640565,0.3747657097760679
2026-02-01,RW1,NHS ENGLAND SOUTH EAST ,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,0,0,2535,0,0,0,0,0,23,0,0,0,0,0,0,0,1,111,2535,0,23,0,0,112,0.009072978303747535,0.0,0.04418145956607495
2026-02-01,RXG,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,131,0.0,0.0,0.0
2026-02-01,RYF,NHS ENGLAND SOUTH WEST ,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,0,0,1774,0,0,35,0,0,22,0,0,0,0,0,0,0,0,0,1774,35,22,0,0,0,0.012401352874859075,0.0,0.0
2026-02-01,RYY,NHS ENGLAND SOUTH EAST ,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,0,0,5722,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,5722,0,12,0,0,0,0.0020971688220901784,0.0,0.0
2026-02-01,Y02532,NHS ENGLAND NORTH WEST ,MIRIAM MINOR EMERGENCY,0,0,1499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1499,0,0,0,0,0,0.0,0.0,0.0
2026-02-01,Y02615,NHS ENGLAND MIDLANDS ,SOUTH BIRMINGHAM GP WALK IN CENTRE,0,0,3764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3764,0,0,0,0,0,0.0,0.0,0.0
2026-02-01,AQM01,NHS ENGLAND SOUTH EAST ,FAVERSHAM MEDICAL PRACTICE MIU,0,0,2780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2780,0,0,0,0,0,0.0,0.0,0.0
2026-02-01,C82009,NHS ENGLAND MIDLANDS ,MARKET HARBOROUGH MED.CTR,0,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,0,0,0,0,0,0.0,0.0,0.0
2026-02-01,L83087,NHS ENGLAND SOUTH WEST ,OKEHAMPTON MEDICAL CENTRE,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0.0,0.0,0.0
