org_name,parent_org,total_attendances,total_over_4hrs,over_4hr_rate_pct
TOTAL,TOTAL,2043572,541635,26.5
UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS ,33806,12860,38.04
BARTS HEALTH NHS TRUST,NHS ENGLAND LONDON,40623,10913,26.86
MID AND SOUTH ESSEX NHS FOUNDATION TRUST,NHS ENGLAND EAST OF ENGLAND ,31584,10832,34.3
UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST ,27046,10682,39.5
MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST ,37135,10030,27.01
NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST ,31715,9823,30.97
ROYAL FREE LONDON NHS FOUNDATION TRUST,NHS ENGLAND LONDON,38988,8953,22.96
FRIMLEY HEALTH NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST ,31823,8897,27.96
UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS ,25009,8449,33.78
